area_sqft,bedroom,bathroom,parking,price,Cluster
5476.0,6,3,10,90000000,5
7187.25,5,3,9,80000000,5
5818.25,5,3,12,70000000,5
3508.0625,6,4,9,130000000,5
6673.875,6,3,10,100000000,5
4385.078125,5,6,9,100000000,5
16855.8125,3,4,1,11000000,0
3165.8125,5,4,9,50000000,5
4406.46875,10,8,5,100000000,0
1369.0,6,4,1,32500000,0
4791.5,4,5,3,32000000,0
1540.125,5,4,1,39900000,0
1711.25,2,2,1,15000000,1
2738.0,5,5,3,52500000,0
1369.0,6,6,1,26500000,0
1369.0,6,6,1,25500000,0
2053.5,6,4,1,33000000,0
2053.5,4,4,3,18500000,0
3422.5,7,4,3,62000000,0
1369.0,0,0,0,10500000,1
1197.875,7,3,1,20500000,0
1197.875,0,0,0,22000000,1
7187.25,95,40,7,145000000,4
6502.75,5,6,4,55000000,0
1369.0,4,4,1,24000000,0
2087.725,6,6,3,37000000,0
6502.75,6,6,4,102500000,0
1540.125,7,4,2,22000000,0
2224.625,6,6,2,58500000,0
1026.75,4,3,1,18500000,0
1197.875,4,3,1,21000000,0
16599.125,5,3,1,17500000,0
3422.5,5,6,3,130000000,2
7187.25,8,8,4,105000000,0
21904.0,5,5,4,105000000,2
1369.0,6,5,1,27500000,0
2395.75,7,7,2,40000000,0
1711.25,6,6,2,26500000,0
2500.0,0,2,2,50,1
1060.975,6,6,1,22500000,0
3764.75,6,6,4,60000000,0
10267.5,6,5,10,250000000,2
3080.25,9,6,3,40000000,0
1197.875,6,5,1,30000000,0
4107.0,6,6,4,65000000,0
1711.25,5,6,2,33000000,0
1369.0,5,5,1,30500000,0
1060.975,2,2,1,14000000,1
1369.0,6,6,1,28000000,0
1369.0,10,5,3,41000000,0
1540.125,6,6,2,27000000,0
1060.975,5,5,1,22000000,0
2738.0,5,5,3,37000000,0
2310.1875,4,3,1,46000000,0
1369.0,5,3,1,22500000,0
1540.125,3,3,2,29000000,0
1026.75,3,4,1,31000000,0
1818.203125,0,0,0,42500000,1
1711.25,5,5,2,37500000,0
21904.0,4,3,4,105000000,2
3401.109375,4,5,4,80000000,0
1540.125,3,4,2,25000000,0
2395.75,4,4,4,32500000,0
1197.875,5,3,1,21000000,0
10609.75,0,0,0,120000000,2
2053.5,4,2,1,7700000,0
1475.953125,7,3,2,20000000,0
1026.75,7,4,1,19000000,0
1369.0,0,4,2,33500000,0
1754.03125,0,0,0,37000000,1
2566.875,0,0,0,36000000,1
2994.6875,8,4,5,40000000,0
1026.75,2,1,1,12500000,1
1112.3125,5,3,1,19500000,0
1197.875,5,3,1,22000000,0
1369.0,4,3,1,21500000,0
1197.875,4,3,1,19500000,0
1026.75,4,3,1,19000000,0
1026.75,4,3,1,18000000,0
1860.984375,8,5,2,37000000,0
1369.0,6,3,1,34000000,0
1139.0625,2,1,1,800000,1
1411.78125,8,4,1,26000000,0
2224.625,5,3,1,22000000,0
1369.0,7,3,1,23000000,0
1240.65625,5,2,1,15500000,0
1129.425,6,4,1,23500000,0
2139.0625,0,0,0,57500000,1
3422.5,5,5,3,90000000,0
1369.0,4,3,1,17000000,0
1112.3125,2,1,1,12500000,1
1882.375,0,0,0,2100000,1
3764.75,4,4,4,45000000,0
1026.75,2,1,1,12500000,1
1197.875,4,3,2,19000000,0
3422.5,0,0,0,32000000,1
1369.0,2,1,2,15500000,1
4107.0,0,0,0,3000000,1
6160.5,0,0,0,6500000,1
1711.25,0,0,0,2350000,1
1369.0,0,0,0,4100000,1
14397.75,0,0,0,100000,1
3422.5,0,0,0,200000,1
2087.725,0,0,0,3500000,1
1369.0,2,1,0,30000,1
6160.5,0,0,0,2800000,1
6160.5,0,0,0,3500000,1
2395.75,0,0,0,1500000,1
41917.5,0,0,0,1250000,3
1369.0,0,0,0,1100000,1
1882.375,0,0,0,8500000,1
1369.0,0,0,0,2850000,1
1711.25,0,0,0,1450000,1
