title,address,city,price,bedroom,bathroom,floors,parking,face,year,views,area,road,road_width,road_type,build_area,posted,amenities,year_missing,road_width_ft,area_sqft,build_area_sqft,price_category
"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,90000000,6,3,2.0,10,West,2073.0,17,1-0-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,18-0-0-0 Aana,11 hours ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Modular Kitchen', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Wifi', 'Water Well', 'Solar Water', 'TV Cable']",0,20.0,5476.0,98568.0,Premium
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,80000000,5,3,2.0,9,East,2073.0,26,0-21-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-14-0-0 Aana,12 hours ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",0,20.0,7187.25,4791.5,Premium
"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,70000000,5,3,2.0,12,East,2071.0,154,1-1-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,10-1-0-0 Aana,2 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",0,20.0,5818.25,55102.25,Premium
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,130000000,6,4,3.0,9,West,2017.0,17,0-10-1-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-7-1-0 Aana,1 day ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Wifi', 'TV Cable']",0,20.0,3508.0625,2481.3125,Premium
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,100000000,6,3,2.0,10,East,2070.0,59,0-19-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-14-2-0 Aana,2 days ago,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Solar Water', 'Water Well']",0,20.0,6673.875,4962.625,Premium
"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,100000000,5,6,3.0,9,East,2074.0,92,0-12-3-1 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,0-8-3-1 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Solar Water']",0,13.0,4385.078125,3016.078125,Premium
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,11000000,3,4,3.0,1,South East,2019.0,317,3-1-1 Aana,11 Feet / Gravelled,11 Feet , Gravelled,N/A Aana,3 days ago,"['Parking', 'Balcony']",0,11.0,16855.8125,,High
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,50000000,5,4,2.0,9,East,2073.0,618,0-8-5-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-6-5-0 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well']",0,20.0,3165.8125,2481.3125,Premium
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,100000000,10,8,3.5,5,North,2017.0,110,0-12-3-2 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-9-3-2 Aana,4 days ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']",0,20.0,4406.46875,3379.71875,Premium
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,32500000,6,4,2.5,1,South East,2065.0,2.6K,0-4-0-0 Aana,12 Feet / Concrete,12 Feet , Concrete,2394 Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",0,12.0,1369.0,819346.5,Premium
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,32000000,4,5,3.0,3,South West,2075.0,922,14 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,7 Aana,3 weeks ago,"['Parking', 'Backyard']",0,15.0,4791.5,2395.75,Premium
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,39900000,5,4,3.0,1,North West,2075.0,592,0-4-2-0 Aana,14 Feet / Paved,14 Feet , Paved,2500 Aana,1 month ago,"['Parking', 'Balcony', 'Internet']",0,14.0,1540.125,855625.0,Premium
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,15000000,2,2,1.0,1,South,2074.0,766,5 Aana,12 Feet / Gravelled,12 Feet , Gravelled,N/A Aana,1 month ago,['Parking'],0,12.0,1711.25,,High
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,52500000,5,5,3.0,3,South East,2075.0,872,8 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Modular Kitchen', 'Microwave', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well']",0,20.0,2738.0,,Premium
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3.0,1,East,2076.0,1.1K,4 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,1 month ago,['Parking'],0,13.0,1369.0,,High
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000,6,6,3.0,1,East,2076.0,1.6K,4 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2700 Sq. Feet,1 month ago,['Parking'],0,13.0,1369.0,2700.0,High
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000,6,4,2.5,1,East,2056.0,2.8K,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,2 months ago,"['Lawn', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",0,20.0,2053.5,,Premium
"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,18500000,4,4,3.0,3,South,2074.0,404,6 Aana,13 Feet,13 Feet,Unknown,N/A Aana,1 month ago,['Parking'],1,13.0,2053.5,,High
"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,62000000,7,4,3.0,3,East,2074.0,164,10 Aana,0 Feet,0 Feet,Unknown,N/A Aana,1 month ago,[],1,0.0,3422.5,,Premium
"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,10500000,0,0,3.0,0,North,2074.0,460,0-4-0-0 Aana,10 Feet,10 Feet,Unknown,N/A Aana,1 month ago,[],1,10.0,1369.0,,High
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000,7,3,3.0,1,East,2076.0,3.2K,0-3-2-0 Aana,10 Feet / Gravelled,10 Feet , Gravelled,2100 Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']",0,10.0,1197.875,2100.0,High
"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,22000000,0,0,3.0,0,East,2074.0,720,0-3-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Sq. Feet,1 month ago,[],1,20.0,1197.875,,High
