support,itemsets
0.2749886928991407,frozenset({'Area_Category_Large_Area'})
0.30619629127091813,frozenset({'Area_Category_Medium_Area'})
0.39574853007688826,frozenset({'Area_Category_Small_Area'})
0.5617367706919946,frozenset({'Bedroom_Category_Few_Bedrooms'})
0.2835820895522388,frozenset({'Bedroom_Category_Many_Bedrooms'})
0.1546811397557666,frozenset({'Bedroom_Category_Medium_Bedrooms'})
0.5707824513794663,frozenset({'Bathroom_Category_Few_Bathrooms'})
0.2532790592492085,frozenset({'Bathroom_Category_Many_Bathrooms'})
0.1759384893713252,frozenset({'Bathroom_Category_Medium_Bathrooms'})
0.13071008593396652,frozenset({'Parking_Category_Many_Parking'})
0.5979194934418816,frozenset({'Parking_Category_No_Parking'})
0.27137042062415195,frozenset({'Parking_Category_Some_Parking'})
0.3333333333333333,frozenset({'Price_Category_High'})
0.33514246947082765,frozenset({'Price_Category_Low'})
0.331524197195839,frozenset({'Price_Category_Medium'})
0.17277250113071008,"frozenset({'Area_Category_Large_Area', 'Bedroom_Category_Few_Bedrooms'})"
0.07372229760289462,"frozenset({'Area_Category_Large_Area', 'Bedroom_Category_Many_Bedrooms'})"
0.17141564902758932,"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Few_Bathrooms'})"
0.07869742198100407,"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Many_Bathrooms'})"
0.06874717322478517,"frozenset({'Area_Category_Large_Area', 'Parking_Category_Many_Parking'})"
0.17819990954319312,"frozenset({'Area_Category_Large_Area', 'Parking_Category_No_Parking'})"
0.08050655811849841,"frozenset({'Area_Category_Large_Area', 'Price_Category_High'})"
0.11397557666214382,"frozenset({'Area_Category_Large_Area', 'Price_Category_Low'})"
0.08050655811849841,"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium'})"
0.16734509271822703,"frozenset({'Area_Category_Medium_Area', 'Bedroom_Category_Few_Bedrooms'})"
0.09000452284034374,"frozenset({'Area_Category_Medium_Area', 'Bedroom_Category_Many_Bedrooms'})"
0.1691542288557214,"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Few_Bathrooms'})"
0.08909995477159656,"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Many_Bathrooms'})"
0.18091361374943465,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking'})"
0.09181365897783808,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_Some_Parking'})"
0.13432835820895522,"frozenset({'Area_Category_Medium_Area', 'Price_Category_High'})"
0.09362279511533243,"frozenset({'Area_Category_Medium_Area', 'Price_Category_Low'})"
0.07824513794663049,"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area'})"
0.20488466757123475,"frozenset({'Area_Category_Small_Area', 'Bedroom_Category_Few_Bedrooms'})"
0.11578471279963817,"frozenset({'Area_Category_Small_Area', 'Bedroom_Category_Many_Bedrooms'})"
0.07507914970601538,"frozenset({'Area_Category_Small_Area', 'Bedroom_Category_Medium_Bedrooms'})"
0.21483491632745363,"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Few_Bathrooms'})"
0.08050655811849841,"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Many_Bathrooms'})"
0.10040705563093623,"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Medium_Bathrooms'})"
0.22388059701492538,"frozenset({'Area_Category_Small_Area', 'Parking_Category_No_Parking'})"
0.14654002713704206,"frozenset({'Parking_Category_Some_Parking', 'Area_Category_Small_Area'})"
0.11261872455902307,"frozenset({'Area_Category_Small_Area', 'Price_Category_High'})"
0.11804613297150611,"frozenset({'Area_Category_Small_Area', 'Price_Category_Low'})"
0.1650836725463591,"frozenset({'Price_Category_Medium', 'Area_Category_Small_Area'})"
0.5282677521483492,"frozenset({'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.4889190411578471,"frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})"
0.05789235639981909,"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Few_Bedrooms'})"
0.0773405698778833,"frozenset({'Bedroom_Category_Few_Bedrooms', 'Price_Category_High'})"
0.250565355042967,"frozenset({'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.23383084577114427,"frozenset({'Price_Category_Medium', 'Bedroom_Category_Few_Bedrooms'})"
0.18588873812754408,"frozenset({'Bathroom_Category_Many_Bathrooms', 'Bedroom_Category_Many_Bedrooms'})"
0.0673903211216644,"frozenset({'Bathroom_Category_Medium_Bathrooms', 'Bedroom_Category_Many_Bedrooms'})"
0.09090909090909091,"frozenset({'Parking_Category_Many_Parking', 'Bedroom_Category_Many_Bedrooms'})"
0.06965174129353234,"frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Many_Bedrooms'})"
0.12302125734961555,"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Many_Bedrooms'})"
0.19402985074626866,"frozenset({'Bedroom_Category_Many_Bedrooms', 'Price_Category_High'})"
0.05924920850293985,"frozenset({'Bathroom_Category_Many_Bathrooms', 'Bedroom_Category_Medium_Bedrooms'})"
0.08322026232473993,"frozenset({'Bedroom_Category_Medium_Bedrooms', 'Bathroom_Category_Medium_Bathrooms'})"
0.09045680687471733,"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Medium_Bedrooms'})"
0.06196291270918137,"frozenset({'Bedroom_Category_Medium_Bedrooms', 'Price_Category_High'})"
0.050203527815468114,"frozenset({'Price_Category_Medium', 'Bedroom_Category_Medium_Bedrooms'})"
0.5070104025327906,"frozenset({'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})"
0.08683853459972862,"frozenset({'Bathroom_Category_Few_Bathrooms', 'Price_Category_High'})"
0.24016282225237448,"frozenset({'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
0.24378109452736318,"frozenset({'Price_Category_Medium', 'Bathroom_Category_Few_Bathrooms'})"
0.09181365897783808,"frozenset({'Parking_Category_Many_Parking', 'Bathroom_Category_Many_Bathrooms'})"
0.11714156490275893,"frozenset({'Parking_Category_Some_Parking', 'Bathroom_Category_Many_Bathrooms'})"
0.18362731795567616,"frozenset({'Bathroom_Category_Many_Bathrooms', 'Price_Category_High'})"
0.10719131614654002,"frozenset({'Parking_Category_Some_Parking', 'Bathroom_Category_Medium_Bathrooms'})"
0.06286748077792854,"frozenset({'Bathroom_Category_Medium_Bathrooms', 'Price_Category_High'})"
0.051560379918588875,"frozenset({'Bathroom_Category_Medium_Bathrooms', 'Price_Category_Low'})"
0.06151062867480778,"frozenset({'Price_Category_Medium', 'Bathroom_Category_Medium_Bathrooms'})"
0.08638625056535504,"frozenset({'Parking_Category_Many_Parking', 'Price_Category_High'})"
0.11578471279963817,"frozenset({'Parking_Category_No_Parking', 'Price_Category_High'})"
0.24106739032112168,"frozenset({'Parking_Category_No_Parking', 'Price_Category_Low'})"
0.24106739032112168,"frozenset({'Price_Category_Medium', 'Parking_Category_No_Parking'})"
0.13116236996834013,"frozenset({'Parking_Category_Some_Parking', 'Price_Category_High'})"
0.06060606060606061,"frozenset({'Parking_Category_Some_Parking', 'Price_Category_Low'})"
0.07960199004975124,"frozenset({'Price_Category_Medium', 'Parking_Category_Some_Parking'})"
0.16598824061510628,"frozenset({'Area_Category_Large_Area', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.16010854816824965,"frozenset({'Area_Category_Large_Area', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})"
0.07869742198100407,"frozenset({'Area_Category_Large_Area', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.07372229760289462,"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Bedroom_Category_Few_Bedrooms'})"
0.060153776571687016,"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Many_Bathrooms', 'Bedroom_Category_Many_Bedrooms'})"
0.0506558118498417,"frozenset({'Area_Category_Large_Area', 'Parking_Category_Many_Parking', 'Bedroom_Category_Many_Bedrooms'})"
0.1587516960651289,"frozenset({'Area_Category_Large_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})"
0.0773405698778833,"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
0.07372229760289462,"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Bathroom_Category_Few_Bathrooms'})"
0.054274084124830396,"frozenset({'Area_Category_Large_Area', 'Parking_Category_Many_Parking', 'Bathroom_Category_Many_Bathrooms'})"
0.052464947987336044,"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Many_Bathrooms', 'Price_Category_High'})"
0.0773405698778833,"frozenset({'Area_Category_Large_Area', 'Parking_Category_No_Parking', 'Price_Category_Low'})"
0.07191316146540028,"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Parking_Category_No_Parking'})"
0.15739484396200815,"frozenset({'Area_Category_Medium_Area', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.15015829941203077,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})"
0.06784260515603799,"frozenset({'Area_Category_Medium_Area', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.06874717322478517,"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area', 'Bedroom_Category_Few_Bedrooms'})"
0.06603346901854365,"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Many_Bathrooms', 'Bedroom_Category_Many_Bedrooms'})"
0.0777928539122569,"frozenset({'Area_Category_Medium_Area', 'Bedroom_Category_Many_Bedrooms', 'Price_Category_High'})"
0.15422885572139303,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})"
0.06331976481230213,"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
0.06829488919041157,"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area', 'Bathroom_Category_Few_Bathrooms'})"
0.051560379918588875,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_Some_Parking', 'Bathroom_Category_Many_Bathrooms'})"
0.07327001356852103,"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Many_Bathrooms', 'Price_Category_High'})"
0.06648575305291723,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Price_Category_Low'})"
0.06965174129353234,"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area', 'Parking_Category_No_Parking'})"
0.06286748077792854,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_Some_Parking', 'Price_Category_High'})"
0.18995929443690637,"frozenset({'Area_Category_Small_Area', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.16598824061510628,"frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Area_Category_Small_Area'})"
0.09543193125282677,"frozenset({'Area_Category_Small_Area', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.08502939846223428,"frozenset({'Price_Category_Medium', 'Area_Category_Small_Area', 'Bedroom_Category_Few_Bedrooms'})"
0.05698778833107191,"frozenset({'Area_Category_Small_Area', 'Bedroom_Category_Many_Bedrooms', 'Bathroom_Category_Many_Bathrooms'})"
0.06512890094979647,"frozenset({'Parking_Category_Some_Parking', 'Area_Category_Small_Area', 'Bedroom_Category_Many_Bedrooms'})"
0.0673903211216644,"frozenset({'Area_Category_Small_Area', 'Bedroom_Category_Many_Bedrooms', 'Price_Category_High'})"
0.18091361374943465,"frozenset({'Area_Category_Small_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})"
0.0913613749434645,"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
0.09633649932157395,"frozenset({'Price_Category_Medium', 'Area_Category_Small_Area', 'Bathroom_Category_Few_Bathrooms'})"
0.05472636815920398,"frozenset({'Parking_Category_Some_Parking', 'Area_Category_Small_Area', 'Bathroom_Category_Many_Bathrooms'})"
0.05472636815920398,"frozenset({'Area_Category_Small_Area', 'Bathroom_Category_Many_Bathrooms', 'Price_Category_High'})"
0.06558118498417007,"frozenset({'Parking_Category_Some_Parking', 'Area_Category_Small_Area', 'Bathroom_Category_Medium_Bathrooms'})"
0.09090909090909091,"frozenset({'Area_Category_Small_Area', 'Parking_Category_No_Parking', 'Price_Category_Low'})"
0.09407507914970602,"frozenset({'Price_Category_Medium', 'Area_Category_Small_Area', 'Parking_Category_No_Parking'})"
0.06196291270918137,"frozenset({'Parking_Category_Some_Parking', 'Area_Category_Small_Area', 'Price_Category_High'})"
0.06377204884667571,"frozenset({'Parking_Category_Some_Parking', 'Price_Category_Medium', 'Area_Category_Small_Area'})"
0.4798733604703754,"frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.06784260515603799,"frozenset({'Bathroom_Category_Few_Bathrooms', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_High'})"
0.23383084577114427,"frozenset({'Bathroom_Category_Few_Bathrooms', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.2265943012211669,"frozenset({'Price_Category_Medium', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.06105834464043419,"frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_High'})"
0.21709633649932158,"frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.21076436001809137,"frozenset({'Price_Category_Medium', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})"
0.07327001356852103,"frozenset({'Parking_Category_Many_Parking', 'Bedroom_Category_Many_Bedrooms', 'Bathroom_Category_Many_Bathrooms'})"
0.08005427408412483,"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Many_Bedrooms', 'Bathroom_Category_Many_Bathrooms'})"
0.14473089099954772,"frozenset({'Bathroom_Category_Many_Bathrooms', 'Bedroom_Category_Many_Bedrooms', 'Price_Category_High'})"
0.0642243328810493,"frozenset({'Parking_Category_Many_Parking', 'Bedroom_Category_Many_Bedrooms', 'Price_Category_High'})"
0.08819538670284939,"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Many_Bedrooms', 'Price_Category_High'})"
0.05201266395296246,"frozenset({'Bedroom_Category_Medium_Bedrooms', 'Parking_Category_Some_Parking', 'Bathroom_Category_Medium_Bathrooms'})"
0.06965174129353234,"frozenset({'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_High'})"
0.2161917684305744,"frozenset({'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
0.22116689280868385,"frozenset({'Price_Category_Medium', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})"
0.06965174129353234,"frozenset({'Parking_Category_Many_Parking', 'Bathroom_Category_Many_Bathrooms', 'Price_Category_High'})"
0.08548168249660787,"frozenset({'Parking_Category_Some_Parking', 'Bathroom_Category_Many_Bathrooms', 'Price_Category_High'})"
0.15649027589326098,"frozenset({'Area_Category_Large_Area', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.07643600180913614,"frozenset({'Area_Category_Large_Area', 'Bathroom_Category_Few_Bathrooms', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.07281772953414745,"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.07146087743102668,"frozenset({'Area_Category_Large_Area', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.0710085933966531,"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})"
0.0710085933966531,"frozenset({'Area_Category_Large_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
